id,label,timeset
0.0,100280852,
1.0,106036152,
2.0,11025592,
3.0,1110307802,
4.0,111922242,
5.0,115027611,
6.0,119260968,
7.0,119897328,
8.0,1216948536,
9.0,1218048566,
10.0,122738730,
11.0,124850509,
12.0,1260309660,
13.0,1327337976,
14.0,1356568904,
15.0,1397462048,
16.0,14336432,
17.0,14382392,
18.0,15257730,
19.0,1551601507,
20.0,156453757,
21.0,156648437,
22.0,15784900,
23.0,169883113,
24.0,1711049318,
25.0,174982538,
26.0,179361501,
27.0,180500420,
28.0,1831939080,
29.0,188399893,
30.0,1895737279,
31.0,191781942,
32.0,19708112,
33.0,197763409,
34.0,204232370,
35.0,205727445,
36.0,207676479,
37.0,208997341,
38.0,21131056,
39.0,21292047,
40.0,214923655,
41.0,21557232,
42.0,2163451076,
43.0,218379543,
44.0,219290077,
45.0,2221741584,
46.0,224012099,
47.0,225409515,
48.0,228359974,
49.0,2286422184,
50.0,230403822,
51.0,236050524,
52.0,237759006,
53.0,2412794966,
54.0,2416199407,
55.0,243456080,
56.0,245987090,
57.0,2494677936,
58.0,24971976,
59.0,255086787,
60.0,258614524,
61.0,258674185,
62.0,260197630,
63.0,2613795883,
64.0,266176320,
65.0,2662370562,
66.0,2689671,
67.0,270047580,
68.0,2736397896,
69.0,2775175833,
70.0,2780222049,
71.0,2807681672,
72.0,287285569,
73.0,2876183963,
74.0,288141943,
75.0,29067884,
76.0,294101019,
77.0,2965701,
78.0,30826226,
79.0,3136731,
80.0,3160454209,
81.0,316878955,
82.0,321070315,
83.0,32125591,
84.0,329029451,
85.0,32928184,
86.0,337206957,
87.0,3403055458,
88.0,344969170,
89.0,35001983,
90.0,351004235,
91.0,3595253955,
92.0,364747870,
93.0,365669085,
94.0,37685817,
95.0,376879469,
96.0,395844507,
97.0,398848805,
98.0,402005824,
99.0,402344054,
100.0,4178932145,
101.0,421089129,
102.0,4263007693,
103.0,436549466,
104.0,437804663,
105.0,454708027,
106.0,458898845,
107.0,466698657,
108.0,4847178760,
109.0,495189410,
110.0,50573450,
111.0,525226773,
112.0,54835129,
113.0,550124358,
114.0,563933806,
115.0,56480310,
116.0,58316131,
117.0,596914488,
118.0,61156115,
119.0,611662839,
120.0,68960270,
121.0,6937342,
122.0,697061735593811968,
123.0,710536251666010112,
124.0,73328095,
125.0,73856573,
126.0,74763818,
127.0,7489332,
128.0,756643854,
129.0,758726582315814912,
130.0,764567449,
131.0,788999781582508032,
132.0,792878617281822720,
133.0,816268321733492736,
134.0,816855272526381060,
135.0,8217242,
136.0,822105040919871488,
137.0,8258432,
138.0,83324697,
139.0,841313422755037184,
140.0,84655355,
141.0,848804341880242176,
142.0,85443769,
143.0,883622976888819717,
144.0,890624131041034240,
145.0,90624241,
146.0,911445809031471104,
147.0,91598569,
148.0,917675425924395008,
149.0,917675869660864512,
150.0,926584587995766784,
151.0,931126554071044096,
152.0,932607017432371200,
153.0,933442739462721541,
154.0,94556953,
155.0,951637554,
156.0,96745148,
157.0,98439536,
158.0,98836604,
